ID,Name,Certificate,Duration,Genre,Rating,Metascore,Revenue
1,The Shawshank Redemption,R,142 min,Drama,9.3,82,2807416
2,The Godfather,R,175 min,"Crime, Drama",9.2,100,1956381
3,The Dark Knight,PG-13,152 min,"Action, Crime, Drama",9,84,2789160
4,Schindler's List,R,195 min,"Biography, Drama, History",9,95,1411332
5,The Lord of the Rings: The Return of the King,PG-13,201 min,"Action, Adventure, Drama",9,94,1921772
6,12 Angry Men,Approved,96 min,"Crime, Drama",9,97,835538
7,The Godfather Part II,R,202 min,"Crime, Drama",9,90,1328486
8,Pulp Fiction,R,154 min,"Crime, Drama",8.9,95,2153060
9,Fight Club,R,139 min,Drama,8.8,67,2241723
10,The Lord of the Rings: The Fellowship of the Ring,PG-13,178 min,"Action, Adventure, Drama",8.8,92,1950066
11,Inception,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,74,2475546
12,Forrest Gump,PG-13,142 min,"Drama, Romance",8.8,82,2185324
13,The Lord of the Rings: The Two Towers,PG-13,179 min,"Action, Adventure, Drama",8.8,87,1734147
14,"The Good, the Bad and the Ugly",Approved,178 min,"Adventure, Western",8.8,90,791425
15,Jai Bhim,TV-MA,164 min,"Crime, Drama, Mystery",8.8,,211008
16,777 Charlie,,164 min,"Adventure, Comedy, Drama",8.8,,37051
17,Spider-Man: Across the Spider-Verse,PG,140 min,"Animation, Action, Adventure",8.7,86,274820
18,Interstellar,PG-13,169 min,"Adventure, Drama, Sci-Fi",8.7,74,1998407
19,Goodfellas,R,145 min,"Biography, Crime, Drama",8.7,92,1218618
20,The Matrix,R,136 min,"Action, Sci-Fi",8.7,73,1996058
21,One Flew Over the Cuckoo's Nest,R,133 min,Drama,8.7,84,1046107
22,Star Wars: Episode V - The Empire Strikes Back,PG,124 min,"Action, Adventure, Fantasy",8.7,82,1345508
23,Rocketry: The Nambi Effect,Not Rated,157 min,"Biography, Drama",8.7,,55700
24,Soorarai Pottru,TV-MA,153 min,"Action, Drama",8.7,,121076
25,The Silence of the Lambs,R,118 min,"Crime, Drama, Thriller",8.6,86,1498989
26,Se7en,R,127 min,"Crime, Drama, Mystery",8.6,65,1739499
27,Saving Private Ryan,R,169 min,"Drama, War",8.6,91,1454112
28,The Green Mile,R,189 min,"Crime, Drama, Fantasy",8.6,61,1364941
29,Star Wars: Episode IV - A New Hope,PG,121 min,"Action, Adventure, Fantasy",8.6,90,1416999
30,City of God,R,130 min,"Crime, Drama",8.6,79,783342
31,Spirited Away,PG,125 min,"Animation, Adventure, Family",8.6,96,812978
32,Terminator 2: Judgment Day,R,137 min,"Action, Sci-Fi",8.6,75,1144667
33,Life Is Beautiful,PG-13,116 min,"Comedy, Drama, Romance",8.6,59,724504
34,It's a Wonderful Life,PG,130 min,"Drama, Family, Fantasy",8.6,89,480175
35,Seven Samurai,Not Rated,207 min,"Action, Drama",8.6,98,358883
36,Harakiri,Not Rated,133 min,"Action, Drama, Mystery",8.6,85,64255
37,Sita Ramam,,163 min,"Action, Drama, Mystery",8.6,,63419
38,Oppenheimer,R,180 min,"Biography, Drama, History",8.5,88,458334
39,Alien,R,117 min,"Horror, Sci-Fi",8.5,89,922232
40,Gladiator,R,155 min,"Action, Adventure, Drama",8.5,67,1567787
41,Django Unchained,R,165 min,"Drama, Western",8.5,81,1640026
42,Parasite,R,132 min,"Drama, Thriller",8.5,96,893464
43,The Departed,R,151 min,"Crime, Drama, Thriller",8.5,85,1383834
44,The Prestige,PG-13,130 min,"Drama, Mystery, Sci-Fi",8.5,66,1400610
45,Back to the Future,PG,116 min,"Adventure, Comedy, Sci-Fi",8.5,87,1267282
46,Whiplash,R,106 min,"Drama, Music",8.5,89,936400
47,Psycho,R,109 min,"Horror, Mystery, Thriller",8.5,97,700839
48,Léon: The Professional,R,110 min,"Action, Crime, Drama",8.5,64,1212326
49,The Usual Suspects,R,106 min,"Crime, Drama, Mystery",8.5,77,1121397
50,The Lion King,G,88 min,"Animation, Adventure, Drama",8.5,88,1108997
51,American History X,R,119 min,"Crime, Drama",8.5,62,1161073
52,The Pianist,R,150 min,"Biography, Drama, Music",8.5,85,881065
53,Casablanca,PG,102 min,"Drama, Romance, War",8.5,100,593157
54,The Intouchables,R,112 min,"Biography, Comedy, Drama",8.5,57,900858
55,Grave of the Fireflies,Not Rated,89 min,"Animation, Drama, War",8.5,94,296959
56,Once Upon a Time in the West,PG-13,165 min,Western,8.5,82,342333
57,Rear Window,PG,112 min,"Mystery, Thriller",8.5,100,510240
58,Cinema Paradiso,R,155 min,"Drama, Romance",8.5,80,274689
59,Modern Times,G,87 min,"Comedy, Drama, Romance",8.5,96,253188
60,City Lights,G,87 min,"Comedy, Drama, Romance",8.5,99,191842
61,96,Not Rated,158 min,"Drama, Romance",8.5,,34460
62,The Shining,R,146 min,"Drama, Horror",8.4,66,1073441
63,Joker,R,122 min,"Crime, Drama, Thriller",8.4,59,1408721
64,Inglourious Basterds,R,153 min,"Adventure, Drama, War",8.4,69,1530049
65,The Dark Knight Rises,PG-13,164 min,"Action, Drama, Thriller",8.4,78,1780781
66,Avengers: Endgame,PG-13,181 min,"Action, Adventure, Drama",8.4,78,1218777
67,Come and See,Not Rated,142 min,"Drama, Thriller, War",8.4,,90599
68,Oldboy,R,120 min,"Action, Drama, Mystery",8.4,78,613146
69,Aliens,R,137 min,"Action, Adventure, Sci-Fi",8.4,84,744913
70,Memento,R,113 min,"Mystery, Thriller",8.4,83,1290410
71,Spider-Man: Into the Spider-Verse,PG,117 min,"Animation, Action, Adventure",8.4,87,633384
72,Apocalypse Now,R,147 min,"Drama, Mystery, War",8.4,94,693606
73,Raiders of the Lost Ark,PG,115 min,"Action, Adventure",8.4,86,1015274
74,Avengers: Infinity War,PG-13,149 min,"Action, Adventure, Sci-Fi",8.4,68,1159414
75,Coco,PG,105 min,"Animation, Adventure, Drama",8.4,81,557869
76,Amadeus,R,160 min,"Biography, Drama, Music",8.4,87,418123
77,Your Name.,PG,106 min,"Animation, Drama, Fantasy",8.4,81,300741
78,3 Idiots,PG-13,170 min,"Comedy, Drama",8.4,67,419533
79,WALL·E,G,98 min,"Animation, Adventure, Family",8.4,95,1167264
80,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,95 min,"Comedy, War",8.4,97,507688
81,The Lives of Others,R,137 min,"Drama, Mystery, Thriller",8.4,89,402187
82,Capernaum,R,126 min,Drama,8.4,75,99684
83,Das Boot,R,149 min,"Drama, War",8.4,86,259336
84,Sunset Blvd.,Passed,110 min,"Drama, Film-Noir",8.4,94,230970
85,Witness for the Prosecution,Approved,116 min,"Crime, Drama, Mystery",8.4,76,132930
86,Paths of Glory,Approved,88 min,"Drama, War",8.4,90,206758
87,High and Low,Not Rated,143 min,"Crime, Drama, Mystery",8.4,90,50042
88,The Great Dictator,G,125 min,"Comedy, Drama, War",8.4,,232511
89,Kaithi,Not Rated,145 min,"Action, Adventure, Crime",8.4,,38074
90,Sardar Udham,TV-MA,164 min,"Biography, Crime, Drama",8.4,,45355
91,Asuran,Not Rated,141 min,"Action, Drama",8.4,,32150
92,Drishyam 2,,152 min,"Crime, Drama, Thriller",8.4,,39787
93,Top Gun: Maverick,PG-13,130 min,"Action, Drama",8.3,78,634261
94,Requiem for a Dream,R,102 min,Drama,8.3,71,877158
95,Heat,R,170 min,"Action, Crime, Drama",8.3,76,695330
96,American Beauty,R,122 min,Drama,8.3,84,1188230
97,Scarface,18+,170 min,"Crime, Drama",8.3,65,887562
98,Good Will Hunting,R,126 min,"Drama, Romance",8.3,70,1025794
99,A Clockwork Orange,R,136 min,"Crime, Sci-Fi",8.3,77,861857
100,2001: A Space Odyssey,G,149 min,"Adventure, Sci-Fi",8.3,84,700327
101,Eternal Sunshine of the Spotless Mind,R,108 min,"Drama, Romance, Sci-Fi",8.3,89,1048917
102,Full Metal Jacket,R,116 min,"Drama, War",8.3,78,771980
103,Braveheart,R,178 min,"Biography, Drama, History",8.3,68,1070447
104,The Hunt,R,115 min,Drama,8.3,77,351191
105,Toy Story,G,81 min,"Animation, Adventure, Comedy",8.3,96,1040178
106,Hamilton,PG-13,160 min,"Biography, Drama, History",8.3,88,106695
107,Reservoir Dogs,R,99 min,"Crime, Thriller",8.3,81,1061913
108,Once Upon a Time in America,R,229 min,"Crime, Drama",8.3,75,367750
109,Incendies,R,131 min,"Drama, Mystery, War",8.3,80,189999
110,Star Wars: Episode VI - Return of the Jedi,PG,131 min,"Action, Adventure, Fantasy",8.3,58,1095923
111,Amélie,R,122 min,"Comedy, Romance",8.3,69,779714
112,Up,PG,96 min,"Animation, Adventure, Comedy",8.3,88,1093327
113,Toy Story 3,G,103 min,"Animation, Adventure, Comedy",8.3,92,871652
114,Princess Mononoke,PG-13,134 min,"Animation, Action, Adventure",8.3,76,417129
115,Citizen Kane,PG,119 min,"Drama, Mystery",8.3,100,457176
116,Vikram,,175 min,"Action, Crime, Thriller",8.3,,67375
117,Lawrence of Arabia,Approved,218 min,"Adventure, Biography, Drama",8.3,100,306392
118,Vertigo,PG,128 min,"Mystery, Romance, Thriller",8.3,100,417559
119,Metropolis,Not Rated,153 min,"Drama, Sci-Fi",8.3,98,181258
120,To Kill a Mockingbird,Approved,129 min,"Crime, Drama",8.3,88,326788
121,Singin' in the Rain,G,103 min,"Comedy, Musical, Romance",8.3,99,253874
122,M,Passed,99 min,"Crime, Mystery, Thriller",8.3,,164664
123,Judgment at Nuremberg,Approved,179 min,"Drama, War",8.3,60,82177
124,The Sting,PG,129 min,"Comedy, Crime, Drama",8.3,83,273391
125,North by Northwest,Approved,136 min,"Action, Adventure, Mystery",8.3,98,339323
126,The Apartment,Approved,125 min,"Comedy, Drama, Romance",8.3,94,190737
127,Dangal,Not Rated,161 min,"Action, Biography, Drama",8.3,,202473
128,A Separation,PG-13,123 min,Drama,8.3,95,253379
129,Ikiru,Not Rated,143 min,Drama,8.3,92,84297
130,Double Indemnity,Passed,107 min,"Crime, Drama, Film-Noir",8.3,95,163662
131,Like Stars on Earth,PG,165 min,"Drama, Family",8.3,,202007
132,Bicycle Thieves,Not Rated,89 min,Drama,8.3,,170805
133,K.G.F: Chapter 2,Not Rated,168 min,"Action, Crime, Drama",8.3,,143328
134,Chhichhore,Not Rated,143 min,"Comedy, Drama, Romance",8.3,,60177
135,Kantara,Not Rated,148 min,"Action, Adventure, Drama",8.3,,98484
136,Ayla: The Daughter of War,,125 min,"Biography, Drama, History",8.3,,42519
137,Shershaah,TV-14,135 min,"Action, Biography, Drama",8.3,,126747
138,Raatchasan,Not Rated,170 min,"Action, Crime, Drama",8.3,,48438
139,Drishyam,Not Rated,160 min,"Crime, Drama, Thriller",8.3,,43157
140,The Wolf of Wall Street,R,180 min,"Biography, Comedy, Crime",8.2,75,1515466
141,No Country for Old Men,R,122 min,"Crime, Drama, Thriller",8.2,92,1026193
142,The Thing,16+,109 min,"Horror, Mystery, Sci-Fi",8.2,57,449290
143,Taxi Driver,R,114 min,"Crime, Drama",8.2,94,888553
144,Spider-Man: No Way Home,PG-13,148 min,"Action, Adventure, Fantasy",8.2,71,835157
145,Shutter Island,R,138 min,"Mystery, Thriller",8.2,63,1400615
146,Jurassic Park,PG-13,127 min,"Action, Adventure, Sci-Fi",8.2,68,1037401
147,Batman Begins,PG-13,140 min,"Action, Crime, Drama",8.2,70,1538410
148,There Will Be Blood,R,158 min,Drama,8.2,93,621013
149,Snatch,R,102 min,"Comedy, Crime",8.2,55,888402
150,The Sixth Sense,PG-13,107 min,"Drama, Mystery, Thriller",8.2,64,1026694
151,The Truman Show,PG,103 min,"Comedy, Drama",8.2,90,1150467
152,Kill Bill: Vol. 1,R,111 min,"Action, Crime, Thriller",8.2,69,1161691
153,Howl's Moving Castle,PG,119 min,"Animation, Adventure, Family",8.2,82,426238
154,Green Book,PG-13,130 min,"Biography, Comedy, Drama",8.2,69,537741
155,V for Vendetta,R,132 min,"Action, Drama, Sci-Fi",8.2,62,1156495
156,Casino,R,178 min,"Crime, Drama",8.2,73,546919
157,1917,R,119 min,"Action, Drama, War",8.2,78,644648
158,Die Hard,R,132 min,"Action, Thriller",8.2,72,914386
159,A Beautiful Mind,PG-13,135 min,"Biography, Drama",8.2,72,964951
160,Pan's Labyrinth,R,118 min,"Drama, Fantasy, War",8.2,98,690038
161,Indiana Jones and the Last Crusade,PG-13,127 min,"Action, Adventure",8.2,65,793452
162,The Father,PG-13,97 min,"Drama, Mystery",8.2,88,178622
163,L.A. Confidential,R,138 min,"Crime, Drama, Mystery",8.2,91,602580
164,Finding Nemo,G,100 min,"Animation, Adventure, Comedy",8.2,90,1086073
165,The Great Escape,Approved,172 min,"Adventure, Drama, History",8.2,86,253530
166,Unforgiven,R,130 min,"Drama, Western",8.2,85,427154
167,Downfall,R,156 min,"Biography, Drama, History",8.2,82,367703
168,Gone with the Wind,Passed,238 min,"Drama, Romance, War",8.2,97,327222
169,Chinatown,R,130 min,"Drama, Mystery, Thriller",8.2,92,340829
170,Monty Python and the Holy Grail,PG,91 min,"Adventure, Comedy, Fantasy",8.2,91,559470
171,Some Like It Hot,Passed,121 min,"Comedy, Music, Romance",8.2,98,277518
172,The Secret in Their Eyes,R,129 min,"Drama, Mystery, Romance",8.2,80,217603
173,Tumbbad,Not Rated,104 min,"Drama, Fantasy, Horror",8.2,,55569
174,The Elephant Man,PG,124 min,"Biography, Drama",8.2,78,252471
175,Ran,R,160 min,"Action, Drama, War",8.2,97,132320
176,For a Few Dollars More,R,132 min,"Drama, Western",8.2,74,267764
177,Drishyam,Not Rated,163 min,"Crime, Drama, Mystery",8.2,,91131
178,Drishyam 2,Not Rated,140 min,"Crime, Drama, Mystery",8.2,,40726
179,Gangs of Wasseypur,Not Rated,321 min,"Action, Comedy, Crime",8.2,89,101081
180,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,R,117 min,"Animation, Action, Adventure",8.2,72,68320
181,Dial M for Murder,PG,105 min,"Crime, Thriller",8.2,75,184159
182,Klaus,PG,96 min,"Animation, Adventure, Comedy",8.2,65,172388
183,All About Eve,Passed,138 min,Drama,8.2,98,136048
184,Rashomon,Not Rated,88 min,"Crime, Drama, Mystery",8.2,98,175988
185,Swades,Not Rated,189 min,"Drama, Musical",8.2,,95525
186,Andhadhun,Not Rated,139 min,"Crime, Mystery, Thriller",8.2,,99267
187,Yojimbo,Not Rated,110 min,"Action, Drama, Thriller",8.2,93,128231
188,The Treasure of the Sierra Madre,Passed,126 min,"Adventure, Drama, Western",8.2,98,129977
189,Children of Heaven,PG,89 min,"Drama, Family, Sport",8.2,77,78457
190,Miracle in Cell No. 7,TV-14,132 min,Drama,8.2,,53308
191,The Wages of Fear,Not Rated,131 min,"Adventure, Drama, Thriller",8.2,85,64606
192,Pather Panchali,Not Rated,125 min,Drama,8.2,,36461
193,The Kid,Passed,68 min,"Comedy, Drama, Family",8.2,,131782
194,To Be or Not to Be,Passed,99 min,"Comedy, Romance, War",8.2,86,41076
195,K.G.F: Chapter 1,Not Rated,154 min,"Action, Crime, Drama",8.2,,94290
196,Vikram Vedha,Not Rated,147 min,"Action, Crime, Drama",8.2,,49020
197,Z,M/PG,127 min,"Crime, Drama, Thriller",8.2,86,30600
198,Zindagi Na Milegi Dobara,Not Rated,155 min,"Comedy, Drama, Musical",8.2,,83339
199,My Father and My Son,Not Rated,112 min,"Drama, Family",8.2,,90106
200,Baahubali 2: The Conclusion,Not Rated,167 min,"Action, Drama",8.2,,109748
201,Sherlock Jr.,Passed,45 min,"Action, Comedy, Romance",8.2,,54370
202,Uri: The Surgical Strike,Not Rated,138 min,"Action, Drama, History",8.2,,69343
203,Umberto D.,Not Rated,89 min,Drama,8.2,92,27403
204,Dersu Uzala,G,142 min,"Adventure, Biography, Drama",8.2,,32557
205,Bhaag Milkha Bhaag,Not Rated,186 min,"Biography, Drama, Sport",8.2,,70813
206,Rangasthalam 1985,Not Rated,170 min,"Action, Drama",8.2,,26697
207,Paan Singh Tomar,Not Rated,135 min,"Action, Biography, Crime",8.2,,37403
208,The Exorcist,R,122 min,Horror,8.1,82,436888
209,Gone Girl,R,149 min,"Drama, Mystery, Thriller",8.1,79,1033101
210,Prisoners,R,153 min,"Crime, Drama, Mystery",8.1,70,773931
211,Harry Potter and the Deathly Hallows: Part 2,PG-13,130 min,"Adventure, Family, Fantasy",8.1,85,919953
212,Mad Max: Fury Road,R,120 min,"Action, Adventure, Sci-Fi",8.1,90,1051394
213,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,143 min,"Action, Adventure, Fantasy",8.1,63,1177426
214,The Grand Budapest Hotel,R,99 min,"Adventure, Comedy, Crime",8.1,88,860757
215,Stand by Me,R,89 min,"Adventure, Comedy, Drama",8.1,75,428200
216,Hacksaw Ridge,R,139 min,"Biography, Drama, History",8.1,71,569862
217,Jaws,PG,124 min,"Adventure, Mystery, Thriller",8.1,87,641952
218,Blade Runner,R,117 min,"Action, Drama, Sci-Fi",8.1,84,802351
219,Ben-Hur,G,212 min,"Adventure, Drama",8.1,90,248461
220,The Deer Hunter,R,183 min,"Drama, War",8.1,86,353252
221,Catch Me If You Can,PG-13,141 min,"Biography, Crime, Drama",8.1,75,1052125
222,"Lock, Stock and Two Smoking Barrels",R,107 min,"Action, Comedy, Crime",8.1,66,603823
223,The Big Lebowski,R,117 min,"Comedy, Crime",8.1,71,840200
224,Fargo,R,98 min,"Crime, Thriller",8.1,86,704602
225,Ratatouille,G,111 min,"Animation, Adventure, Comedy",8.1,96,791020
226,Dead Poets Society,PG,128 min,"Comedy, Drama",8.1,79,523986
227,The Terminator,R,107 min,"Action, Sci-Fi",8.1,84,902193
228,The Wizard of Oz,PG,102 min,"Adventure, Family, Fantasy",8.1,92,417644
229,Ford v Ferrari,PG-13,152 min,"Action, Biography, Drama",8.1,81,439368
230,The Handmaiden,Not Rated,145 min,"Drama, Romance, Thriller",8.1,85,163680
231,Into the Wild,R,148 min,"Adventure, Biography, Drama",8.1,73,644410
232,The Help,PG-13,146 min,Drama,8.1,62,480726
233,Trainspotting,R,93 min,Drama,8.1,83,710978
234,Inside Out,PG,95 min,"Animation, Adventure, Comedy",8.1,94,756435
235,Room,R,118 min,"Drama, Thriller",8.1,86,439384
236,"Monsters, Inc.",G,92 min,"Animation, Adventure, Comedy",8.1,79,951948
237,"Three Billboards Outside Ebbing, Missouri",R,115 min,"Comedy, Crime, Drama",8.1,88,537702
238,Memories of Murder,Not Rated,132 min,"Crime, Drama, Mystery",8.1,82,204392
239,Before Sunrise,R,101 min,"Drama, Romance",8.1,77,328677
240,Rush,R,123 min,"Action, Biography, Drama",8.1,74,500798
241,Spotlight,R,129 min,"Biography, Crime, Drama",8.1,93,490530
242,The Sound of Music,G,172 min,"Biography, Drama, Family",8.1,63,250137
243,Warrior,PG-13,140 min,"Action, Drama, Sport",8.1,71,488452
244,Logan,R,137 min,"Action, Drama, Sci-Fi",8.1,77,805989
245,Platoon,R,120 min,"Drama, War",8.1,92,429417
246,Rocky,PG,120 min,"Drama, Sport",8.1,70,611336
247,In the Mood for Love,PG,98 min,"Drama, Romance",8.1,87,161018
